Timestamp,Trade High,Trade Close,Trade Low,Trade Open
21/03/2012,1256.94,1242.58,1239.28,1248.44
20/03/2012,1261.68,1248.42,1244.66,1259.5
19/03/2012,1261.77,1259.5,1254.53,1258.56
16/03/2012,1261.81,1258.56,1246.21,1250.74
15/03/2012,1253.92,1250.72,1239.61,1242.01
14/03/2012,1251.89,1242.01,1240.44,1246.68
13/03/2012,1247.25,1246.66,1232.79,1232.83
12/03/2012,1234.81,1232.83,1227.01,1234.15
9/03/2012,1242,1234.14,1231.37,1232.86
8/03/2012,1235.84,1232.78,1209.23,1209.95
7/03/2012,1212.53,1209.93,1204.04,1208.17
6/03/2012,1234.14,1208.21,1206.42,1233.91
5/03/2012,1240.66,1233.91,1229.23,1238.72
2/03/2012,1241.42,1238.86,1234.98,1238.49
1/03/2012,1239.22,1236.63,1224.66,1234.76
29/02/2012,1242.68,1234.85,1224.73,1227.01
28/02/2012,1233.03,1226.98,1218.69,1218.96
27/02/2012,1223.41,1218.94,1212.35,1222.4
24/02/2012,1223.98,1222.41,1206.68,1207.02
23/02/2012,1212.13,1206.97,1198.94,1200.35
22/02/2012,1216.25,1200.33,1199.39,1215.95
21/02/2012,1227.34,1216.45,1211.7,1227.18
20/02/2012,1229.62,1227.21,1212.09,1212.09
17/02/2012,1214.8,1211.73,1198.11,1198.26
16/02/2012,1203.41,1198.2,1188.54,1203.13
15/02/2012,1208.51,1203.1,1186.69,1186.7
14/02/2012,1201.82,1186.68,1183.65,1201.82
13/02/2012,1204.83,1201.94,1191.04,1193
10/02/2012,1213.26,1192.98,1191.31,1211.98
9/02/2012,1213.92,1211.96,1202.79,1209.48
8/02/2012,1212.39,1209.49,1204.47,1204.47
7/02/2012,1205.56,1204.46,1198.07,1200.59
6/02/2012,1205.44,1200.57,1194.93,1198.62
3/02/2012,1200.84,1198.57,1192.14,1197.71
2/02/2012,1202.61,1197.75,1191.88,1193.89
1/02/2012,1194.39,1193.86,1171.51,1177.83
31/01/2012,1186.92,1177.65,1172.32,1174.8
30/01/2012,1184.54,1174.81,1171.4,1181.66
27/01/2012,1186.26,1181.78,1177.02,1181.81
26/01/2012,1184.81,1181.83,1159.25,1161.07
25/01/2012,1172.78,1161.72,1159.78,1161.07
24/01/2012,1174.51,1159.58,1154.85,1161.03
23/01/2012,1170.78,1167.49,1158.23,1161.03
20/01/2012,1163.73,1161.07,1146.66,1148.84
19/01/2012,1150.68,1148.91,1128.65,1131.57
18/01/2012,1135.08,1131.52,1124.13,1134.52
17/01/2012,1139.98,1134.53,1123.26,1123.26
16/01/2012,1124.37,1123.26,1114.95,1120.44
13/01/2012,1135.42,1120.45,1112.3,1125.18
12/01/2012,1129.72,1125.15,1114.99,1115.02
11/01/2012,1125.83,1115.02,1110.55,1120.97
10/01/2012,1124.1,1120.97,1099.48,1099.48
9/01/2012,1106.78,1099.47,1095.04,1099.57
6/01/2012,1112.43,1099.44,1095.42,1106.12
5/01/2012,1122,1106.09,1103.8,1118.5
4/01/2012,1132.66,1118.52,1117.41,1120.22
3/01/2012,1120.8,1120.22,1103.83,1104.47
30/12/2011,1104.4,1103.04,1088.38,1088.59
29/12/2011,1090.82,1088.53,1077.72,1086.76
28/12/2011,1105.8,1086.78,1084.33,1103.41
27/12/2011,1104.4,1103.44,1097.01,1097.42
23/12/2011,1099.36,1097.41,1086.97,1086.97
22/12/2011,1090.8,1086.94,1078.92,1085.14
21/12/2011,1106.65,1085.33,1083.7,1086.92
20/12/2011,1087.27,1086.9,1063.19,1065.23
19/12/2011,1075.7,1065.23,1062.42,1075.69
16/12/2011,1080.29,1075.76,1072.31,1073.99
15/12/2011,1077.32,1073.95,1062.46,1064.73
14/12/2011,1091.55,1064.76,1064.76,1086.44
13/12/2011,1096.69,1086.44,1080.11,1094.01
12/12/2011,1117.22,1094,1091.04,1111.75
9/12/2011,1119.24,1111.71,1099.94,1119.22
8/12/2011,1143.64,1119.34,1116.11,1140.19
7/12/2011,1149.6,1140.24,1133.68,1134.34
6/12/2011,1145.85,1134.31,1128.62,1145.57
5/12/2011,1147.77,1145.57,1136.98,1138.81
